var1,var2,family,rotation,parameters,empirical_kendall_tau,empirical_spearman_rho,empirical_lower_tail_q05,empirical_upper_tail_q05,loglik,aic,bic
Erk,Akt,gumbel,0,[[2.7582600448789916]],0.6314174590847679,0.8081989982649379,0.2579132473622508,0.7502930832356388,539.7421894649849,-1077.4843789299698,-1072.735619382478
PKC,P38,student,0,"[[0.7399295455604886], [2.388570744580467]]",0.5483394125466923,0.689547341149998,0.164126611957796,0.5861664712778428,369.6146727882093,-735.2293455764186,-725.7318264814353
Raf,Mek,gumbel,0,[[1.938009078120316]],0.4997318180096227,0.680548088737161,0.3985932004689331,0.5158264947245017,295.57335350033964,-589.1467070006793,-584.3979474531876
Akt,PKA,clayton,180,[[0.6370477638380263]],0.181883791103203,0.2797882827101428,0.1406799531066823,0.3985932004689331,90.30388961385486,-178.60777922770973,-173.85901968021804
PIP2,PIP3,gumbel,0,[[1.3133886718065644]],0.2517419833099206,0.3652936302278177,0.0703399765533411,0.3516998827667057,70.60805378425627,-139.21610756851254,-134.46734802102085
Erk,PKA,clayton,180,[[0.3868605056914555]],0.0730864599516714,0.1264516538698585,0.2813599062133646,0.4220398593200468,43.9203102002992,-85.8406204005984,-81.09186085310672
PKC,Jnk,frank,0,[[-1.2804252447032785]],-0.1012851170189287,-0.2004654478764407,0.2110199296600234,0.0703399765533411,18.03523639030328,-34.070472780606565,-29.321713233114885
Plcg,PIP3,clayton,180,[[0.2271456267193718]],0.0488371119929959,0.077145566904905,0.1172332942555685,0.1875732708089097,17.320144072747578,-32.640288145495155,-27.891528598003475
Plcg,PIP2,student,0,"[[0.08995456017798181], [4.675554320921508]]",0.0662138308152105,0.0896272920452729,0.164126611957796,0.1172332942555685,19.321537055419284,-34.64307411083857,-25.14555501585521
